id,name,description,age_range,scope,website,deadline,location
1,Regeneron International Science and Engineering Fair (ISEF),"The world's largest international pre-college science competition, where students present their independent research projects.",High School (Grades 9-12),International,https://www.societyforscience.org/isef/,"Varies by affiliated fair, typically Nov-Jan",Varies Annually (USA)
2,Regeneron Science Talent Search (STS),"The United States' most prestigious and oldest science and math research competition for high school seniors.",High School Seniors,National (USA),https://www.societyforscience.org/regeneron-sts/,"Early November",Washington, D.C., USA
3,International Mathematical Olympiad (IMO),"The world championship mathematics competition for high school students, held annually in a different country.",High School Students,International,https://www.imo-official.org/,"Varies by country",Varies Annually
4,International Physics Olympiad (IPhO),"An annual international physics competition for secondary school students.",High School Students,International,http://www.ipho-new.org/,"Varies by country",Varies Annually
5,International Chemistry Olympiad (IChO),"An annual academic competition for high school students, testing their chemistry knowledge and skills.",High School Students,International,https://www.icho.sk/,"Varies by country",Varies Annually
6,International Biology Olympiad (IBO),"The world's premier science olympiad for high school students, testing practical and theoretical biology skills.",High School Students (16-19),International,https://www.ibo-info.org/,"Varies by country",Varies Annually
7,International Olympiad in Informatics (IOI),"One of the most prestigious computer science competitions in the world for secondary school students.",Secondary School Students,International,https://ioinformatics.org/,"Varies by country",Varies Annually
8,FIRST Robotics Competition,"An international robotics competition where high school teams design, build, and program robots to compete in a themed game.",High School (14-18),International,https://www.firstinspires.org/robotics/frc,"Varies by region, typically Dec-Jan",Multiple Regional Events; Championship in USA
9,Google Science Fair,"A defunct global online science and engineering competition that encouraged teenagers to solve real-world problems using science, technology, engineering, and math.",13-18,International,https://www.googlesciencefair.com/,"Previously May",Online
10,Microsoft Imagine Cup,"A global technology competition for students, where they create innovative applications, games, and solutions.",Students (16+),International,https://imaginecup.microsoft.com/,"Varies, typically early in the year",Online & In-person Finals
11,Conrad Challenge,"An annual, multi-phase innovation and entrepreneurial competition that encourages students to develop solutions to global problems.",13-18,International,https://www.conradchallenge.org/,"Early November",Houston, TX, USA
12,Davidson Fellows Scholarship,"A scholarship program that awards students 18 or under who have completed a significant piece of work.",Under 18,National (USA),https://www.davidsongifted.org/fellows-scholarship,"February",Washington, D.C., USA
13,Breakthrough Junior Challenge,"A global science video competition where students explain a big idea in physics, life sciences, or mathematics in an engaging way.",13-18,International,https://breakthroughjuniorchallenge.org/,"June",Palo Alto, CA, USA
14,National Science Bowl,"A nationwide academic competition in the U.S. that tests students' knowledge in all areas of science and mathematics.",Middle & High School Students,National (USA),https://science.osti.gov/wdts/nsb,"Varies by region, typically Oct-Jan",Washington, D.C., USA
15,Science Olympiad,"A nationwide team-based science competition where students compete in 23 events covering various scientific disciplines.",Elementary, Middle, & High School,National (USA),https://www.soinc.org/,"Varies by state",Varies by state; National tournament location varies
16,VEX Robotics Competition,"The world's largest robotics competition for students from elementary to university levels.",Elementary, Middle School, High School, University,International,https://www.vexrobotics.com/competition,"Varies by event",Multiple local, regional, and national events; World Championship in USA
17,F1 in Schools,"A global STEM competition where students design, manufacture, test, and race miniature F1 cars.",9-19,International,https://www.f1inschools.com/,"Varies by country",Varies Annually
18,Shell Eco-marathon,"A global engineering competition that challenges students to design, build, and drive the most energy-efficient vehicles.",High School & University Students,International,https://www.shellecomarathon.com/,"Varies by region",Events in Americas, Asia, and Europe
19,Intel AI Global Impact Festival,"A competition celebrating the next generation of technologists, innovators, and leaders, and empowering them with AI-ready skills.",N/A,International,https://www.intel.com/content/www/us/en/events/ai-global-impact-festival.html,"Varies",Online / Global
20,NASA Human Exploration Rover Challenge,"An annual engineering competition hosted by NASA that challenges high school and college students to design and build a human-powered rover.",High School & University Students,International,https://www.nasa.gov/roverchallenge/home/index.html,"Early February",Huntsville, AL, USA
21,Genes in Space,"A competition to design pioneering DNA experiments that will be conducted on the International Space Station.",Grades 7-12,National (USA),https://www.genesinspace.org/,"April",ISS / Kennedy Space Center, FL, USA
22,Stockholm Junior Water Prize,"The most prestigious international award for a high school student's water research project.",15-20,International,https://www.siwi.org/prizes/stockholm-junior-water-prize/,"Varies by country, typically spring",Stockholm, Sweden
23,Envirothon,"North America's largest hands-on environmental and natural resource competition for high school students.",High School Students,International (North America),https://envirothon.org/,"Varies by state/province",Varies Annually (North America)
24,BioGENEius Challenge,"The premier competition for high school student researchers in biotechnology.",High School Students,International,https://www.bioradiations.com/biogeneius/,"Varies by location",BIO International Convention (Varies)
25,Odyssey of the Mind,"An international creative problem-solving program for students from kindergarten to college.",Kindergarten - University,International,https://www.odysseyofthemind.com/,"Varies by region",World Finals in USA (location varies)
26,Destination Imagination,"A global project-based, team-based program that teaches kids creative problem-solving skills.",Kindergarten - University,International,https://www.destinationimagination.org/,"Varies by region",Global Finals in Kansas City, MO, USA
27,Technovation Girls,"A global program that invites teams of girls ages 10 to 18 to learn and apply the skills needed to solve real-world problems through technology.",10-18 (female),International,https://technovationchallenge.org/,"March",Online / Global Summit in California, USA
28,e-CYBERMISSION,"A free, web-based STEM competition for students in grades 6-9, where they propose a solution to a problem in their community.",Grades 6-9,National (USA),https://www.ecybermission.com/,"February",National Judging in June
29,3M Young Scientist Challenge,"America's premier science competition for middle school students (grades 5-8), encouraging scientific exploration.",Grades 5-8,National (USA),https://www.youngscientistlab.com/challenge,"April",St. Paul, MN, USA
30,Broadcom MASTERS,"The premier U.S. science and engineering competition for middle school students.",Grades 6-8,National (USA),https://www.societyforscience.org/broadcom-masters/,"June (nomination-based)",Washington, D.C., USA
31,CSIRO CREST Awards,"A non-competitive program that supports students in carrying out their own self-directed science projects.",All ages,National (Australia),https://www.csiro.au/en/education/programs/crest,"Open year-round",Australia (non-competitive)
32,European Union Contest for Young Scientists (EUCYS),"An annual science competition of the European Union for young scientists.",14-20,Regional (Europe),https://eucys.eu/,"Varies by country",Varies Annually (Europe)
33,China Adolescents Science & Technology Innovation Contest (CASTIC),"The largest and most prestigious science competition in China for young scientists.",Students,National (China),http://castic.cyscc.org/,"Varies",Varies Annually (China)
34,International Young Physicists' Tournament (IYPT),"A team competition for secondary school students, where teams present and defend their solutions to open-ended physics problems.",High School Students,International,https://www.iypt.org/,"Varies by country",Varies Annually
35,International Astronomy and Astrophysics Competition,"An international online science competition that allows students to showcase their talents and improve their astronomy knowledge.",High School & University Students,International,https://iaac.space/,"April",Online
36,International Environmental Project Olympiad (INEPO),"An international project competition focused on environmental issues, aiming to raise environmental awareness among young people.",High School Students,International,https://www.inepo.com/,"Varies",Varies Annually
37,Google Code Jam,"A defunct international programming competition hosted by Google, where professional and amateur programmers solved complex algorithmic problems.",18+,International,https://codingcompetitions.withgoogle.com/codejam,"Previously April (Qualification)",Online
38,Topcoder Open,"A premier programming and design tournament where top talent from around the world competes.",All ages,International,https://www.topcoder.com/tco,"Varies throughout the year",Online & In-person Finals (Varies)
39,International Genetically Engineered Machine (iGEM) Competition,"The world's premier synthetic biology competition for university and high school students.",University & High School Students,International,https://igem.org/,"Varies, team registration early in the year",Paris, France (Grand Jamboree)
40,RoboCup,"An international robotics project to promote AI and robotics research and education.",All ages,International,https://www.robocup.org/,"Varies",Varies Annually
41,World Robot Olympiad (WRO),"A global robotics competition for young people, where teams design and build robotic solutions to challenges.",6-25,International,https://wro-association.org/,"Varies by country",Varies Annually
42,FIRST LEGO League,"Introduces elementary and middle school students to science, technology, engineering, and math (STEM) concepts while building LEGO-based robots.",9-16,International,https://www.firstlegoleague.org/,"Varies by region",Multiple local and regional events; International championships
43,Team America Rocketry Challenge (TARC),"The world's largest rocket contest, where students design, build, and fly a rocket to meet specific criteria.",Grades 7-12,National (USA),https://rocketcontest.org/,"April",The Plains, VA, USA
44,Solar Decathlon,"A collegiate competition that challenges student teams to design and build high-performance, solar-powered buildings.",University Students,International,https://www.solardecathlon.gov/,"Varies by competition (e.g., Build Challenge, Design Challenge)",Varies; e.g., Golden, CO, USA
45,Engineers Without Borders Challenge,"A unique design program for first-year university students, focused on sustainable and human-centered design.",First-year University Students,International,https://ewb-usa.org/get-involved/university-program/the-ewb-challenge/,"Varies by university",University-based
46,James Dyson Award,"An international design competition that celebrates, encourages, and inspires the next generation of design engineers.",Current or recent design or engineering students,International,https://www.jamesdysonaward.org/,"July",International
47,Global Student Challenge,"The largest student competition for supply chain management and finance.",University Students,International,https://inchainge.com/business-games/global-student-challenge/,"April",Online / Finals in the Netherlands
48,International Collegiate Programming Contest (ICPC),"The oldest, largest, and most prestigious team-based programming contest in the world for university students.",University Students,International,https://icpc.global/,"Varies by region",World Finals location varies annually
49,Formula SAE,"A student design competition for engineering students organized by SAE International.",University Students,International,https://www.fsaeonline.com/,"Varies by event",Multiple events in USA and worldwide
50,International Brain Bee,"A neuroscience competition for high school students, aiming to inspire them to pursue careers in neuroscience.",13-19,International,https://thebrainbee.org/,"Varies by country",Varies Annually
